room_id,escaper_id,roomrun_id,room_name_splitted,company_name_splitted,location,keywords,hashtag,min_players,max_players,website,phone,phone_2,address,latitude,longitude,waze_link,moovit_link,region_splitted,is_closed_on_weekends,is_double,is_performance,is_vr,soldier_discount,soldier_discount_weekend,student_discount,student_discount_weekend,children_discount,children_discount_weekend,is_gift_card,escape_card,birthday_discount,is_actor,is_linear,is_parallel,is_beginner,is_for_children,is_for_religious,is_scary,is_for_disabled,is_for_hearing_impaired,is_for_pregnant,is_credit_card_accepted,arseny_did,sharona_did,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,weekend_price_1,weekend_price_2,weekend_price_3, weekend_price_4,weekend_price_5,weekend_price_6,weekend_price_7,weekend_price_8,weekend_price_9,weekend_price_10,weekend_price_11,weekend_price_12
47,55,barons-treasure,מטמון הברון,צופן הברון,זכרון יעקב,,#חדרבריחה_מטמוןהברון,2,7,http://baron-code.co.il?utm_source=escape-bot,072-2409004,,"המייסדים 62, זכרון יעקב",32.574399,34.954005,http://tinyurl.com/htrlepz,http://tinyurl.com/ly5x2e4,שרון | השרון | צפון | בצפון,,1,,,,,,,,,,,,0,0,1,1,1,,0,1,1,1,1,,,,110,100,90,80,75,,,,,,,,120,110,98,88,80,,,,,,
48,56,secrets-of-the-scroll,סודות המגילה,צופן הברון,זכרון יעקב,,#חדרבריחה_סודותהמגילה,2,7,http://baron-code.co.il?utm_source=escape-bot,072-2409004,,"המייסדים 62, זכרון יעקב",32.574399,34.954005,http://tinyurl.com/htrlepz,http://tinyurl.com/kke9sxk,שרון | השרון | צפון | בצפון,,1,,,,,,,,,,,,0,0,1,1,1,,0,1,1,1,1,,,,110,100,90,80,75,,,,,,,,120,110,98,88,80,,,,,,
49,118,the-hell,הגהינום | הגהינום ,5d reality game | 5d,חולון,,#חדרבריחה_הגהנום,2,6,http://reality-game.co.il/?page_id=43&utm_source=escape-bot,050-5078701,,"סוקולוב 42, חולון",32.022709,34.773505,http://tinyurl.com/jxt4uar,http://tinyurl.com/mdcgrc9,מרכז | המרכז,,0,,,,,,,,,,,,0,,,,,,1,,,,,,,,105,90,83,74,70,,,,,,,,130,107,95,84,77,,,,,,
50,211,star-wars,star wars | מלחמת הכוכבים,5d reality game | 5d,חולון,,#חדרבריחה_מלחמתהכוכבים,2,6,http://reality-game.co.il/?page_id=43&utm_source=escape-bot,050-5078701,,"סוקולוב 42, חולון",32.022709,34.773505,http://tinyurl.com/jxt4uar,http://tinyurl.com/lwlqjvp,מרכז | המרכז,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,105,90,83,74,70,,,,,,,,130,107,95,84,77,,,,,,
51,181,obscurity,אובסקיוריטי | obscurity,portal y  | פורטל y ,חולון,,#חדרבריחה_אובסקיוריטי,3,10,http://www.portaly.club/obscurity?utm_source=escape-bot,058-6076070,,"רבינוביץ' 11, חולון",31.999243,34.768505,http://tinyurl.com/hhoblzb,http://tinyurl.com/ms5j5wx,מרכז | המרכז,,0,,,,,,,,,,,,0,0,1,0,0,,1,0,1,1,1,1,1,,,110,110,100,100,90,90,80,,,,,,120,120,110,110,100,100,95,,,
52,64,kohinoor,קוהינור,enigmatic,חיפה,,#חדרבריחה_קוהינור,2,6,http://www.enigmatic.co.il/he/home-page/?utm_source=escape-bot,054-3315338,,"שדרות מוריה 58, חיפה",32.796500,34.984357,http://tinyurl.com/z8os48t,http://tinyurl.com/kogmuo7,צפון | הצפון,,0,,,10,10,,,,,1,,,0,,,1,,1,,,,,,,,,100,95,90,80,75,,,,,,,,120,105,95,85,80,,,,,,
53,68,the-secret-of-the-gallery,סוד הגלריה,escape challenge | אסקייפ צ׳לנג׳,חיפה,,#חדרבריחה_סודהגלריה,2,7,http://www.escapechallenge.co.il/room/SecretOfTheGallery?utm_source=escape-bot,050-2700387,,"הבונים החופשיים 11, לב המפרץ, חיפה",32.788286,35.039320,http://tinyurl.com/gse9syn,http://tinyurl.com/lpqewpx,צפון | הצפון,,0,,,10,10,10,,,,,,,0,,,,,,,,,,,,,,120,90,80,70,70,70,,,,,,,120,100,90,84,80,80,,,,,
54,302,,המשחק האחרון,escape challenge | אסקייפ צ׳לנג׳,חיפה,,#חדרבריחה_המשחקהאחרון,2,8,http://www.escapechallenge.co.il/room/TheLastGame,050-9252847,,"יוחנן הסנדלר 8, חיפה",32.790282,35.039164,http://tinyurl.com/y7ln9qjm,http://tinyurl.com/y7ew4q2a,צפון | הצפון,,0,,,10,10,10,,50,50,,,,0,,,,,,,,,,,,,,120,110,100,100,100,100,100,,,,,,120,110,100,100,100,100,100,,,,
331,65,the-ring,הצלצול | צלצול,אקזיט רום | exit room,חיפה,,#חדרבריחה_הצלצול,2,6,http://exitroom.co.il/rooms/the-ring/?lang=he&utm_source=escape-bot,053-5318227,,"שדרות הנשיא 104, חיפה",32.807755,34.986178,http://tinyurl.com/htoyu2g,http://tinyurl.com/mpcklfs,צפון | הצפון,,0,,,10,10,,,10,10,1,,,0,,,1,,,1,,,,1,1,1,,120,100,88,80,78,,,,,,,,120,100,88,80,78,,,,,,
55,49,bank-robbery,שוד בנק,אקזיט רום | exit room,חיפה,,#חדרבריחה_שודבנק,2,7,http://exitroom.co.il/rooms/bank-robbery-2/?lang=he&utm_source=escape-bot,053-6224799,,"שדרות ההסתדרות 34, חיפה",32.790736,35.033694,http://tinyurl.com/hdfwkd9,http://tinyurl.com/l4c3ewp,צפון | הצפון,,0,,,10,10,,,10,10,1,,,0,,,,,,,,,,1,1,1,,120,100,88,80,78,77,,,,,,,120,100,88,80,78,77,,,,,
56,207,da-vinci-code,תעלומת דה וינצ'י | דה וינצ׳י,אקזיט רום | exit room,חיפה,,#חדרבריחה_תעלומותדהוינצי,2,5,http://exitroom.co.il/rooms/da-vinci-code-2-2-2-2-2/?lang=he&utm_source=escape-bot,053-5318227,,"שדרות הנשיא 104, חיפה",32.807755,34.986178,http://tinyurl.com/htoyu2g,http://tinyurl.com/mw7w8mk,צפון | הצפון,,0,,,10,10,,,10,10,1,,,0,,,,,,,,,,1,,,,120,100,88,80,,,,,,,,,120,100,88,80,,,,,,,
57,185,cursed-treasure,האוצרות המקוללים,Quest Place,חיפה,,#חדרבריחה_האוצרותהמקוללים,2,6,http://goldenfox.co.il/?utm_source=escape-bot,054-8110795,,"שער פלמר 1, חיפה",32.819802,34.999984,http://tinyurl.com/zlz4rp6,http://tinyurl.com/mch747a,צפון | הצפון,,0,,,10,10,10,10,50,50,1,,,0,,,,,,,,,,1,,,,100,90,80,70,65,,,,,,,,120,110,95,90,80,,,,,,
58,179,,היער הקסום,golden key,חיפה,,#חדרבריחה_היערהקסום,4,14,http://www.mygoldenkey.co.il/haifa?utm_source=escape-bot,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,http://tinyurl.com/mzh9y93,צפון | הצפון,,0,,,10,10,,,,,1,10,,0,,,,,,0,,,,,,,,,,95,90,83,79,50,50,,,,,,,95,90,83,79,50,50,,,
59,165,the-will-of-a-millionaire,הצוואה של הדוד המליונר,golden key,חיפה,,,2,8,http://www.mygoldenkey.co.il/haifa?utm_source=escape-bot,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,http://tinyurl.com/lo2sjf2,צפון | הצפון,,0,,,10,10,,,,,1,10,,0,,,,,,,,,,,,,,125,100,95,90,83,79,50,,,,,,125,100,95,90,89,79,50,,,,
60,205,,הצוללת,golden key,חיפה,,#חדרבריחה_הצוללת,2,8,http://www.mygoldenkey.co.il/haifa?utm_source=escape-bot,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,http://tinyurl.com/n2m529g,צפון | הצפון,,0,,,10,10,,,,,1,10,,0,,,,,,,,,,,,,,125,100,95,90,83,79,50,,,,,,125,100,95,90,89,79,50,,,,
61,26,real-detective,בלש אמיתי,quest room,חיפה,,#חדרבריחה_בלשאמיתי,2,6,http://www.questroom.co.il/real-detective-game?utm_source=escape-bot,072-2133868,054-4522905,"יוחנן הסנדלר 13, חיפה",32.790122,35.040041,http://tinyurl.com/jgtvqge,http://tinyurl.com/mjczoe2,צפון | הצפון,,0,,,10,10,,,20,20,,,,0,,,1,,,,,,1,1,,,,100,90,80,70,70,,,,,,,,125,110,100,90,90,,,,,,
62,139,the-grudge,הטינה,quest room,חיפה,,#חדרבריחה_הטינה,2,7,http://www.questroom.co.il/the-grudge?utm_source=escape-bot,072-2133868,050-6488656,"האשלג 18, חיפה",32.791259,35.039209,http://tinyurl.com/jmrttpw,http://tinyurl.com/lkxfgof,צפון | הצפון,,0,,,10,10,,,20,20,1,,,0,,,,,,1,,,,1,,,,100,90,80,70,70,70,,,,,,,125,110,100,90,90,90,,,,,
63,216,james-bond,סוכן 007,quest room,חיפה,,#חדרבריחה_סוכן007,3,7,http://www.questroom.co.il/007?utm_source=escape-bot,072-2133868,054-3593109,"ליאון שטיין 9, חיפה",32.791219,35.036775,http://tinyurl.com/jqdzyoz,http://tinyurl.com/lloyuyd,צפון | הצפון,,0,,,10,10,,,20,20,,,,0,,,,,,,,,,1,,,,,90,80,70,70,,,,,,,,,110,100,90,90,,,,,,
64,192,quest-world,השתלטות U110 | השתלטות u110 | u110,quest world,חיפה,,#חדרבריחה_השתלטות,2,8,http://www.quest-world.co.il/?utm_source=escape-bot,052-4653133,,"ההסתדרות 208, חיפה",32.807479,35.062809,http://tinyurl.com/j487gu3,http://tinyurl.com/k62cbgc,צפון | הצפון,,0,,,,,,,,,,,,0,,,,,,,,,,1,,,,150,100,90,80,75,70,69,,,,,,150,100,100,100,100,100,100,,,,
65,244,captain-hook,האוצר האבוד של קפטן הוק,quest world,חיפה,,#חדרבריחה_קפטןהוק,2,8,http://www.quest-world.co.il/?utm_source=escape-bot,052-4653133,,"ההסתדרות 208, חיפה",32.807479,35.062809,http://tinyurl.com/j487gu3,http://tinyurl.com/mnxqw26,צפון | הצפון,,0,,,,,,,,,,,,0,,,1,1,,,,,,1,,,,120,100,90,80,75,70,69,,,,,,150,100,95,90,90,86,82,,,,
351,,,הרפתקה בעולם האווטר | אווטאר,quest world,חיפה,,#חדרבריחה_אווטאר,2,6,http://www.quest-world.co.il/room/avatar/,052-4653133,,"ההסתדרות 208, חיפה",32.807479,35.062809,http://tinyurl.com/j487gu3,http://tinyurl.com/mnxqw26,צפון | הצפון,,0,,,,,,,,,,,,0,,,0,0,,0,,,,1,,,,120,110,105,100,100,,,,,,,,150,110,110,110,110,,,,,,
66,150,the-ritual,הפולחן,question mark,חיפה,,#חדרבריחה_הפולחן,3,7,http://questionmark.run/?utm_source=escape-bot,052-4723463,,"מרקוני גוליאלמו 9, חיפה",32.788701,35.032508,http://tinyurl.com/h6hmzat,http://tinyurl.com/mhlwb44,צפון | הצפון,,0,,,,,,,,,,,,1,,,,,,1,,,,,,,,120,100,90,80,75,70,,,,,,,,110,95,85,80,75,,,,,
67,221,razor,רייזור,question mark,חיפה,,#חדרבריחה_רייזור,3,7,http://questionmark.run/?utm_source=escape-bot,052-4723463,,"מרקוני גוליאלמו 9, חיפה",32.788701,35.032508,http://tinyurl.com/h6hmzat,http://tinyurl.com/m3v93nk,צפון | הצפון,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,120,100,90,80,75,70,,,,,,,,110,95,85,80,75,,,,,
68,81,thelosttomb,הקבר האבוד,questplace,חיפה,,#חדרבריחה_הקברהאבוד,2,6,http://www.questplace.co.il/games/the-lost-tomb/?utm_source=escape-bot,052-6573911,,"עיר תחתית, שער פלמר 1, קומה א׳ משרד 107, חיפה",32.819802,34.999984,http://tinyurl.com/zlz4rp6,http://tinyurl.com/nx38vrj,צפון | הצפון,,0,,,,,,,,,,,,0,,,,,,,0,,0,1,,,,120,100,80,80,80,,,,,,,,120,100,80,80,80,,,,,,
69,57,,המרדף אחרי המליון | המירוץ למיליון,secret room,חיפה,,#חדרבריחה_המירוץלמליון,2,5,http://secretroom.co.il/quests/v-pogone-za-millionom-haifa/?utm_source=escape-bot,058-5579797,058-5671882,"עיר תחתית, שער פלמר 1, קומה ב׳ משרד 219, חיפה",32.819802,34.999984,http://tinyurl.com/zlz4rp6,http://tinyurl.com/laqa74y,צפון | הצפון,,0,,,10,10,10,10,,,,,,0,0,1,1,,,0,0,0,0,0,,,,100,100,80,80,,,,,,,,,100,100,80,80,,,,,,,
70,120,imitator,חקיין | החקיין,the game,חיפה,,#חדרבריחה_החקיין,2,5,http://haifa-game.com/?utm_source=escape-bot,052-7527471,,"הנמל 6, חיפה",32.817648,35.002588,http://tinyurl.com/zsdgevv,http://tinyurl.com/kr2jy64,צפון | הצפון,,0,,,,,,,,,,,,0,,,1,,,1,,,,,,,,110,100,95,,,,,,,,,,120,110,105,,,,,,,,
71,246,the-black-pearl,הבריחה מהפנינה השחורה,best quest,חיפה,,#חדרבריחה_בריחהמהפנינההשחורה,2,8,http://bestquest.co.il/index.html?utm_source=escape-bot,053-7170353,,"שער פלמר 1, קומה 2, חדר229",32.819802,34.999984,http://tinyurl.com/zlz4rp6,http://tinyurl.com/n4cofje,צפון | הצפון,,0,,,,,,,,,,,,0,,,1,,,,,,,,,,,110,90,75,70,70,70,70,,,,,,120,100,88,80,80,80,75,,,,
72,47,unequivocal-threat,איום חד משמעי,bquest,ירושלים,,#חדרבריחה_איוםחדמשמעי,2,6,bquest.co.il?utm_source=escape-bot,052-5416528,073-7310226,יד חרוצים 16 ירושלים,31.751703,35.216291,http://tinyurl.com/zmfzbmd,http://tinyurl.com/k873jsq,י-ם,,0,,,,,,,,,,,,0,,,,1,,,,,,1,,,,95,83,78,70,67,,,,,,,,120,100,90,80,75,,,,,,
73,46,king-solomons-mines,מכרות המלך שלמה,bquest,ירושלים,,#חדרבריחה_מכרותהמלךשלמה,2,6,http://bquest.co.il/solomon-mines/?utm_source=escape-bot,052-5416528,073-7310226,יד חרוצים 16 ירושלים,31.751703,35.216291,http://tinyurl.com/zmfzbmd,http://tinyurl.com/lu2uggs,י-ם,,0,,,,,,,,,,,,0,,,,1,,,,,,1,,,,95,83,78,70,67,,,,,,,,120,100,90,80,75,,,,,,
74,233,crisis,קרייסס  | קרייסיס,crazy mary,ירושלים,,#חדרבריחה_קרייסיס,2,5,https://www.facebook.com/horrorroomisrael/?utm_source=escape-bot,050-5557471,,"הרכבים 13, ירושלים",31.753753,35.212558,http://tinyurl.com/j5y5gre,http://tinyurl.com/kgqykcg,י-ם,,0,,,20,20,,,,,,,30,0,,,,,,1,,,,1,,,,100,100,100,100,,,,,,,,,100,100,100,100,,,,,,,
75,168,mystery-in-the-park,תעלומה במשרדי הפארק,esc room,ירושלים,,#חדרבריחה_תעלומהבפארק,2,6,http://esctheroom.co.il/?utm_source=escape-bot,052-3406030,053-5220520,"שטנר 7, ירושלים",31.786101,35.189882,http://tinyurl.com/hdjfgof,http://tinyurl.com/mrvgoup,י-ם,,0,,,,,,,,,,,,0,,,,,,1,,,,,,,,120,110,100,90,80,75,,,,,,,120,110,100,90,80,75,,,,,
76,22,robbery-of-the-century-jerusalem,שוד המאה ,escaperoom | escape room | אסקייפ רום,ירושלים,,#חדרבריחה_שודהמאה,2,6,http://www.escaperoom.co.il/jerusalem-the-robbery-of-the-century?utm_source=escape-bot,079-932-2224,,"שמאי 19, ירושלים",31.781194,35.218660,http://tinyurl.com/j2f9dch,http://tinyurl.com/ku2jwnh,י-ם,,1,,,20,20,,,50,50,1,,,0,1,1,1,,,0,,,,1,,,,120,100,90,80,80,,,,,,,,120,100,90,80,80,,,,,,
77,,escape-the-nazir,להמלט מן הנזיר,jerusalem puzzle quest,ירושלים,,#חדרבריחה_נזיר,4,10,http://jpq.co.il/?utm_source=escape-bot,054-7121656,,"פייר קניג 28, ירושלים",31.752744,35.213777,http://tinyurl.com/zc5p3cc,http://tinyurl.com/maqknuc,י-ם,1,0,,,,,,,,,1,10,,0,1,1,1,1,1,,0,1,1,1,,,,,,80,80,80,80,90,90,,,,,,,80,80,80,80,90,90,,,
78,24,race-to-the-million,המרדף אחרי המליון | המירוץ למיליון,secret room,ירושלים,,#חדרבריחה_המירוץלמליון,2,5,http://secretroom.co.il/quests/v-pogone-za-millionom/?utm_source=escape-bot,058-4579797,,"יפו 97 קומה c2 משרד 226, ירושלים",31.784294,35.214896,http://tinyurl.com/z8xsvzg,http://tinyurl.com/mtt5j8v,י-ם,,0,,,,,,,,,1,,,0,,,1,,,,,,,,,,,100,100,80,80,,,,,,,,,100,100,80,80,,,,,,,
79,73,secret-room,שבויי המבצר,secret room,ירושלים,,#חדרבריחה_שבוייהמבצר,2,5,http://secretroom.co.il/quests/pobeg-iz-tyurmy/?utm_source=escape-bot,058-4579797,,יואל משה סלומון 16 ירושלים,31.779962,35.219831,http://tinyurl.com/hg5bk6c,http://tinyurl.com/lz2qmd9,י-ם,,0,,,,,,,,,,,,0,,,1,,,,,,,,,,,100,100,80,80,,,,,,,,,100,100,80,80,,,,,,,
80,40,the-great-jailbreak,הבריחה הגדולה מהכלא | הבריחה מהכלא,the challenge rooms,ירושלים,,#חדרבריחה_הבריחהמהכלא,2,7,http://www.thechallengerooms.com/escape-room-jailbreak-x2vsk?utm_source=escape-bot,053-6782822,,"האומן 22, ירושלים",31.751352,35.208225,http://tinyurl.com/j6yw9jy,http://tinyurl.com/mr37ypq,י-ם,,0,,,,,,,,,,,,0,,,,,,,1,,,0,,,,95,93,88,80,80,80,,,,,,,100,100,90,86,86,86,,,,,
81,142,the-trip,הטיול,the challenge rooms,ירושלים,,#חדרבריחה_הטיול,5,8,http://www.thechallengerooms.com/the-trip-heb?utm_source=escape-bot,053-6782822,,"האומן 22, ירושלים",31.751352,35.208225,http://tinyurl.com/j6yw9jy,http://tinyurl.com/mco9z8z,י-ם,,0,,,,,,,,,,,,0,,,,,,,0,0,0,0,,,,,,,90,90,90,90,,,,,,,,,100,100,100,100,,,,
82,257,stargate,סטארגייט,bz games,ירושלים,,#חדרבריחה_סטארגייט,2,6,https://www.escapeil.com/?utm_source=escape-bot,02-9976509​,054-9935234,יד חרוצים 16 ירושלים,31.751704,35.216292,http://tinyurl.com/jmw49q7,http://tinyurl.com/kabrs87,י-ם,,0,,,20,20,10,10,,,,,,0,,,,,,,,,,,,,,100,95,90,85,75,,,,,,,,120,105,95,90,85,,,,,,
83,124,the-holy-grail,אבירי השולחן העגול,cerebro,כפר סבא,,#חדרבריחה_אביריהשולחן,2,7,http://cerebro.co.il/?utm_source=escape-bot,0544875837,0542772220,התעש 24 קומה 2 כפר סבא,32.177020,34.927410,http://tinyurl.com/znkmlsj,http://tinyurl.com/m7jhbbo,שרון | השרון | כפ״ס,,0,,,10,10,10,10,,,1,10,,0,,,1,1,,0,1,1,1,1,,,,120,110,100,90,85,85,,,,,,,120,110,100,90,85,85,,,,,
84,66,the-experiment,הניסוי,escapers,כפר סבא,,#חדרבריחה_הניסוי,2,6,http://www.escapers.co.il/blank-4?utm_source=escape-bot,052-5514957,,התע'ש 24 מבנה 25 כפר סבא,32.177020,34.927410,http://tinyurl.com/znkmlsj,http://tinyurl.com/muvhnf5,שרון | השרון | כפ״ס,,0,,,10,10,10,10,,,,,,0,,,1,1,,1,,,,,,,,120,110,100,90,85,,,,,,,,120,110,100,90,85,,,,,,
85,190,hashored-hamiti,השורד האמיתי,runout,כפר סבא,,#חדרבריחה_השורדהאמיתי,2,8,https://www.runoutescaperoom.com/?utm_source=escape-bot,09-887-5990,,"דרך השרון 12, מרכז שרונה, קומה 2, כפר סבא",32.173844,34.892689,http://tinyurl.com/hcg3otz,http://tinyurl.com/knsflkg,שרון | השרון | כפ״ס,,0,,,10,10,10,10,,,,10,,0,,,,,,,,,,,,,,110,83,80,76,73,71,69,,,,,,120,107,95,90,83,79,75,,,,
86,191,frankenstein,פרנקנשטיין | פרנקינשטיין,runout,כפר סבא,,#חדרבריחה_פרנקנשטיין,2,5,https://www.runoutescaperoom.com/?utm_source=escape-bot,09-887-5990,,"דרך השרון 12, מרכז שרונה, קומה 2, כפר סבא",32.173844,34.892689,http://tinyurl.com/hcg3otz,http://tinyurl.com/l4j5tyx,שרון | השרון | כפ״ס,,0,,,10,10,10,10,,,,10,,0,,,,,,,1,,,,,,,110,83,80,76,,,,,,,,,120,107,95,90,,,,,,,
87,130,mistaarvim,המסתערבים | מסתערבים,top escape room,כפר סבא,,#חדרבריחה_המסתערבים,2,7,http://top-escape.co.il/index.php/he/%D7%97%D7%93%D7%A8%D7%99%D7%9D/%D7%9E%D7%A1%D7%AA%D7%A2%D7%A8%D7%91%D7%99%D7%9D?utm_source=escape-bot,052-6081222,09-9575759,"הרימון 82, מושב נווה ימין, כפר סבא",32.168659,34.934813,http://tinyurl.com/hs3otnr,http://tinyurl.com/nycnh2y,שרון | השרון | כפ״ס,,0,,,10,10,10,10,25,25,,,10,0,,,,,,1,,,,,,,,140,100,90,80,75,75,,,,,,,150,110,100,90,85,85,,,,,
88,92,hobbit,ההוביט,xcape,כפר סבא,,#חדרבריחה_ההוביט,2,8,http://www.xcape.co.il/?utm_source=escape-bot,054-6369863,,התעש 24 קומה 2 כפר סבא,32.177020,34.927410,http://tinyurl.com/znkmlsj,http://tinyurl.com/k32bcvw,שרון | השרון | כפ״ס,,0,,,,,,,,,,10,50,0,,,1,1,,,,,,,,,,120,110,100,90,85,85,85,,,,,,120,110,100,90,85,85,85,,,,
89,131,swat,"ימ""מ  | יממ",xcape,כפר סבא,,#חדרבריחה_יממ,2,8,http://www.xcape.co.il/?utm_source=escape-bot,054-6369863,,התעש 24 קומה 2 כפר סבא,32.177020,34.927410,http://tinyurl.com/znkmlsj,http://tinyurl.com/n3hepef,שרון | השרון | כפ״ס,,0,,,,,,,,,,10,50,0,,,,,,,1,,,,,,,120,110,100,90,85,85,85,,,,,,120,110,100,90,85,85,85,,,,
90,164,show-me-the-money,איפה הכסף,the x perience,להבות הבשן,,#חדרבריחה_איפההכסף,2,7,http://www.x-perience-escaperooms.co.il/?utm_source=escape-bot,054-2573979,,קיבוץ להבות הבשן,33.141218,35.647871,http://tinyurl.com/z4ho53g,http://tinyurl.com/lzv3cz8,צפון | הצפון | גליל | הגליל,,0,,,10,10,10,10,,,,,,0,,,1,1,,,,,,,,,,105,93,83,76,72,69,,,,,,,120,110,100,90,83,79,,,,,
91,119,hostage,בת ערובה ,60 minutes,מודיעין,,#חדרבריחה_בתערובה,2,6,http://www.60minutes.co.il/?utm_source=escape-bot,050-9713138,050-7130013,"המעיין 55, מודיעין",31.922035,34.966164,http://tinyurl.com/gl5fps9,http://tinyurl.com/ljc87ko,,,0,,,10,10,10,10,20,20,1,,,0,,,,,,,,,,,,,,120,100,90,80,75,,,,,,,,120,100,90,80,75,,,,,,
92,121,escape-from-cherbourg,הבריחה משרבורג,the north escape,מחניים,,#חדרבריחה_הבריחהמשרבורג,2,6,http://www.tnq.co.il/?utm_source=escape-bot,058-7587016,,מרכז מסחרי צומת מחניים,32.990730,35.563155,http://tinyurl.com/zlmk63t,http://tinyurl.com/lz9t3eh,צפון | הצפון | גליל | הגליל,,0,,,10,10,10,10,,,,,,0,,,1,,,,,,,,,,,100,95,85,80,75,,,,,,,,120,110,100,90,85,,,,,,
93,229,black-powder,אבקת שריפה,brain challenge,מעונה,,,2,8,http://www.brainchallenge.co.il/?utm_source=escape-bot,052-6146002,,מושב מעונה,33.016894,35.263626,http://tinyurl.com/heaemes,http://tinyurl.com/l3uvju9,צפון | הצפון | גליל | הגליל,,0,,,10,10,10,,,,,,,0,,,,,,,,,,,,,,100,90,80,70,70,70,70,,,,,,120,100,90,80,80,80,80,,,,
94,94,siryan-captivity,בשבי הסורי,questeam,מרחביה,,#חדרבריחה_בשביהסורי,2,6,"https://www.questeam.co.il/questeam-2?utm_source=escape-bot
",072-2778640,052-8090195,"דרך החרוב, קיבוץ מרחביה",32.604621,35.309881,http://tinyurl.com/jg2goes,http://tinyurl.com/mfvcur6,צפון | הצפון | גליל | הגליל,,0,,,10,10,10,10,,,,,,0,,,1,,,,1,,1,1,,,,100,90,80,70,70,,,,,,,,125,110,100,90,90,,,,,,
95,95,the-x-ray-killer,רוצח הרנטגן,questeam,מרחביה,,#חדרבריחה_רוצחהרנטגן,2,6,https://www.questeam.co.il/questeam-1?utm_source=escape-bot,072-2778640,052-8090195,"דרך החרוב, קיבוץ מרחביה",32.604621,35.309881,http://tinyurl.com/jg2goes,http://tinyurl.com/kdbsqpk,צפון | הצפון | גליל | הגליל,,0,,,10,10,10,10,,,,,,0,,,1,,,1,1,,1,1,,,,100,90,80,70,70,,,,,,,,125,110,100,90,90,,,,,,
96,82,trap-room,האוצר האבוד,trap room,נהריה,,#חדרבריחה_האוצרהאבוד,2,6,www.traproom.co.il?utm_source=escape-bot,053-8286151,,"לוחמי הגטאות 34, נהריה",33.001750,35.097263,http://tinyurl.com/gmh8sm6,http://tinyurl.com/n75nx2j,צפון | הצפון | גליל | הגליל,,0,,,10,10,10,10,30,30,,,,0,1,1,1,1,,0,0,1,0,0,,,,100,87,80,72,67,,,,,,,,120,100,90,90,80,,,,,,
97,177,black-list,הרשימה השחורה,escape mission,נס ציונה,,#חדרבריחה_הרשימההשחורה,2,6,http://www.escape-mission.co.il/?utm_source=escape-bot,08-9199309,,"ויצמן 30, נס ציונה",31.929902,34.799320,http://tinyurl.com/zbd2pa8,http://tinyurl.com/me7qhh8,שפלה | השפלה | דרום | הדרום,,0,,,10,10,,,10,10,1,,,0,,,,,,,,,,,,,,100,90,80,75,70,,,,,,,,120,110,90,80,75,,,,,,
98,188,the-end-of-the-world,סוף העולם,reality games | the rooms | דה רומס | דה רומז,נס ציונה,,#חדרבריחה_סוףהעולם,2,6,http://www.realitygames.co.il/%D7%A1%D7%95%D7%A3-%D7%94%D7%A2%D7%95%D7%9C%D7%9D-2/?utm_source=escape-bot,08-9414145,052-3331313,"האיזמל 2, נס ציונה",31.923205,34.793887,http://tinyurl.com/zqrahto,http://tinyurl.com/lohxehz,שפלה | השפלה | דרום | הדרום,,0,,,10,10,10,,,,1,,,0,,,1,1,,,,1,,1,1,1,,120,110,100,90,80,,,,,,,,150,110,100,90,80,,,,,,
99,213,abandoned-house-mystery,תעלומת הבית הנטוש,my real quest,נשר,,#חדרבריחה_תעלומתהביתהנטוש,2,6,http://real-quest.co.il/?utm_source=escape-bot,054-3005090,052-7321704,"התעשייה 37, נשר",32.773559,35.046253,http://tinyurl.com/h3ff5hf,http://tinyurl.com/m8ltfhv,צפון | הצפון | חיפה,,0,,,10,10,10,,,,1,,,0,,,,1,,1,0,0,0,,,,,125,100,95,90,85,,,,,,,,140,110,100,95,90,,,,,,
100,204,harry-potter-questline,הארי פוטר,questline,נשר,,#חדרבריחה_האריפוטר,2,5,https://questline.co.il/he/booking/harry-potter.html?utm_source=escape-bot,054-9281393,,"דרך בר יהודה 195, נשר",32.780839,35.035712,http://tinyurl.com/zemq7ze,http://tinyurl.com/kourpqn,צפון | הצפון | חיפה,,0,,,10,10,10,10,,,,,,0,1,1,0,,,,0,1,1,1,,,,100,100,100,100,,,,,,,,,,100,100,100,,,,,,,
101,25,the-asylum,המחלקה הפסיכיאטרית,questline,נשר,,#חדרבריחה_המחלקההפסיכיאטרית,2,8,https://questline.co.il/he/booking/asylum.html?utm_source=escape-bot,054-9281393,,"דרך בר יהודה 195, נשר",32.780839,35.035712,http://tinyurl.com/zemq7ze,http://tinyurl.com/l87e3m4,צפון | הצפון | חיפה,,0,,,10,10,10,10,,,,,,0,1,1,0,,,1,0,1,1,1,1,1,,100,100,90,80,75,70,70,,,,,,,100,100,100,100,100,100,,,,
